Rank,Year,Team,League,G,W,L,Ties,W-L%,Finish,Playoffs,R,RA,AvgBatAge,AvgPitchAge,#Bat,#Pitch,Top Player,Managers
1,2013,New York Yankees,AL East,44,28,16,0,.636,1st of 5,,190,163,31.7,32.4,36,17,H.Kuroda (2.1),Joe Girardi (28-16)
2,2012,New York Yankees,AL East,162,95,67,0,0.586,1st of 5,Lost ALCS (4-0),804,668,32.7,30.3,45,23,R.Cano (8.5),Joe Girardi (95-67)
3,2011,New York Yankees,AL East,162,97,65,0,0.599,1st of 5,Lost LDS (3-2),867,657,30.5,31,48,28,C.Sabathia (7.5),Joe Girardi (97-65)
4,2010,New York Yankees,AL East,162,95,67,0,0.586,2nd of 5,Lost ALCS (4-2),859,693,30.2,30.3,43,21,R.Cano (8.2),Joe Girardi (95-67)
5,2009,New York Yankees,AL East,162,103,59,0,0.636,1st of 5,Won WS (4-2),915,753,30.4,29.3,45,24,D.Jeter (6.6),Joe Girardi (103-59)
6,2008,New York Yankees,AL East,162,89,73,0,0.549,3rd of 5,,789,727,31.3,30.6,51,27,A.Rodriguez (6.8),Joe Girardi (89-73)
7,2007,New York Yankees,AL East,162,94,68,0,0.58,2nd of 5,Lost LDS (3-1),968,777,30.7,31.4,49,28,A.Rodriguez (9.4),Joe Torre (94-68)
8,2006,New York Yankees,AL East,162,97,65,0,0.599,1st of 5,Lost LDS (3-1),930,767,30.9,32.5,49,25,C.Wang (6.0),Joe Torre (97-65)
9,2005,New York Yankees,AL East,162,95,67,0,0.586,1st of 5,Lost LDS (3-2),886,789,32.4,34.2,51,28,A.Rodriguez (9.4),Joe Torre (95-67)
10,2004,New York Yankees,AL East,162,101,61,0,0.623,1st of 5,Lost ALCS (4-3),897,808,32.3,32.9,43,23,A.Rodriguez (7.6),Joe Torre (101-61)
11,2003,New York Yankees,AL East,163,101,61,1,0.623,1st of 5,Lost WS (4-2),877,716,30.5,33.6,49,23,M.Mussina (6.6),Joe Torre (101-61)
12,2002,New York Yankees,AL East,161,103,58,0,0.64,1st of 5,Lost LDS (3-1),897,697,30.1,33.1,38,17,J.Giambi (7.1),Joe Torre (103-58)
13,2001,New York Yankees,AL East,161,95,65,1,0.594,1st of 5,Lost WS (4-3),804,713,31.1,30.9,47,20,M.Mussina (7.1),Joe Torre (95-65)
14,2000,New York Yankees,AL East,161,87,74,0,0.54,1st of 5,Won WS (4-1),871,814,31.3,32,46,22,J.Posada (5.5),Joe Torre (87-74)
15,1999,New York Yankees,AL East,162,98,64,0,0.605,1st of 5,Won WS (4-0),900,731,30.9,31.2,39,18,D.Jeter (8.0),Joe Torre (98-64)
